shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10215,45.449358,-73.793894,100018,22.297
10215,45.449386,-73.793711,100019,22.312
10215,45.449398,-73.793613,100020,22.320
10215,45.449582,-73.792130,100021,22.437
10215,45.449607,-73.791913,100022,22.454
10215,45.449649,-73.791530,100023,22.485
10215,45.449670,-73.791342,100024,22.500
10215,45.449715,-73.790854,100025,22.538
10215,45.449715,-73.790856,110001,22.538
10215,45.449756,-73.790411,110002,22.573
10215,45.449817,-73.789642,110003,22.634
10215,45.449822,-73.789568,110004,22.640
10215,45.449836,-73.789346,110005,22.657
10215,45.449910,-73.788155,110006,22.751
10215,45.449927,-73.787871,110007,22.773
10215,45.449933,-73.787673,110008,22.789
10215,45.449983,-73.786027,110009,22.918
10215,45.449985,-73.784493,110010,23.038
10215,45.449985,-73.784179,110011,23.062
10215,45.449933,-73.781743,110012,23.253
10215,45.449926,-73.781351,110013,23.284
10215,45.449908,-73.780503,110014,23.350
10215,45.449907,-73.780420,110015,23.356
10215,45.449901,-73.780153,110016,23.377
10215,45.449853,-73.777459,110017,23.588
10215,45.449840,-73.776737,110018,23.645
10215,45.449814,-73.775464,110019,23.744
10215,45.449694,-73.769589,110020,24.204
10215,45.449675,-73.768622,110021,24.280
10215,45.449670,-73.768386,110022,24.299
10215,45.449643,-73.766804,110023,24.422
10215,45.449627,-73.765868,110024,24.496
10215,45.449591,-73.764256,110025,24.622
10215,45.449591,-73.764257,120001,24.622
10215,45.449571,-73.763430,120002,24.687
10215,45.449539,-73.761921,120003,24.805
10215,45.449509,-73.760500,120004,24.916
10215,45.449503,-73.760190,120005,24.940
10215,45.449444,-73.757164,120006,25.177
10215,45.449427,-73.756163,120007,25.256
10215,45.449414,-73.755457,120008,25.311
10215,45.449383,-73.753638,120009,25.453
10215,45.449316,-73.750303,120010,25.714
10215,45.449308,-73.749892,120011,25.747
10215,45.449273,-73.748058,120012,25.890
10215,45.449196,-73.744107,120013,26.200
10215,45.449177,-73.743110,120014,26.277
10215,45.449177,-73.743111,130001,26.277
10215,45.449097,-73.738970,130002,26.602
10215,45.449079,-73.738085,130003,26.671
10215,45.449067,-73.737175,130004,26.742
10215,45.449065,-73.737077,130005,26.750
10215,45.449070,-73.736695,130006,26.780
10215,45.449077,-73.736147,130007,26.823
10215,45.449079,-73.736027,130008,26.832
10215,45.449097,-73.735354,130009,26.885
10215,45.449106,-73.734956,130010,26.916
10215,45.449111,-73.734286,130011,26.968
10215,45.449111,-73.734174,130012,26.977
10215,45.449107,-73.733872,130013,27.001
10215,45.449099,-73.733338,130014,27.043
10215,45.449093,-73.733035,130015,27.066
10215,45.449093,-73.732994,130016,27.070
10215,45.449080,-73.732333,130017,27.121
10215,45.449070,-73.731751,130018,27.167
10215,45.449063,-73.731413,130019,27.193
10215,45.449059,-73.731188,130020,27.211
10215,45.449056,-73.730993,130021,27.226
10215,45.449050,-73.730728,130022,27.247
10215,45.449045,-73.730507,130023,27.264
10215,45.449016,-73.729145,130024,27.371
10215,45.449005,-73.728598,130025,27.413
10215,45.448996,-73.728152,130026,27.448
10215,45.448905,-73.723431,130027,27.818
10215,45.448872,-73.721685,130028,27.955
10215,45.448855,-73.720879,130029,28.018
10215,45.448806,-73.718372,130030,28.214
10215,45.448774,-73.716841,130031,28.334
10215,45.448728,-73.714637,130032,28.506
10215,45.448707,-73.713536,130033,28.593
10215,45.448664,-73.711325,130034,28.766
10215,45.448664,-73.711327,140001,28.766
10215,45.448620,-73.709233,140002,28.930
10215,45.448600,-73.708004,140003,29.026
10215,45.448598,-73.707880,140004,29.036
10215,45.448598,-73.707787,140005,29.043
10215,45.448599,-73.707345,140006,29.077
10215,45.448601,-73.707140,140007,29.093
10215,45.448604,-73.706913,140008,29.111
10215,45.448604,-73.706861,140009,29.115
10215,45.448611,-73.706726,140010,29.126
10215,45.448636,-73.706156,140011,29.171
10215,45.448644,-73.705990,140012,29.184
10215,45.448670,-73.705522,140013,29.220
10215,45.448703,-73.705049,140014,29.258
10215,45.448706,-73.704992,140015,29.262
10215,45.448718,-73.704852,140016,29.273
10215,45.448775,-73.704108,140017,29.331
10215,45.448828,-73.703411,140018,29.386
10215,45.448869,-73.702863,140019,29.430
10215,45.448933,-73.701976,140020,29.499
10215,45.448996,-73.701110,140021,29.567
10215,45.449071,-73.700110,140022,29.646
10215,45.449112,-73.699564,140023,29.689
10215,45.449158,-73.698947,140024,29.738
10215,45.449254,-73.697630,140025,29.841
10215,45.449340,-73.696464,140026,29.933
10215,45.449531,-73.693873,140027,30.137
10215,45.449587,-73.693104,140028,30.197
10215,45.449619,-73.692651,140029,30.233
10215,45.449650,-73.692239,140030,30.265
10215,45.449686,-73.691831,140031,30.298
10215,45.449709,-73.691592,140032,30.317
10215,45.449745,-73.691266,140033,30.342
10215,45.449764,-73.691093,140034,30.356
10215,45.449779,-73.690984,140035,30.365
10215,45.449817,-73.690699,140036,30.387
10215,45.449864,-73.690376,140037,30.413
10215,45.450005,-73.689494,140038,30.484
10215,45.450044,-73.689245,140039,30.504
10215,45.450168,-73.688470,140040,30.566
10215,45.450230,-73.688078,140041,30.598
10215,45.450368,-73.687239,140042,30.665
10215,45.450415,-73.686939,140043,30.689
10215,45.450445,-73.686752,140044,30.704
10215,45.450469,-73.686598,140045,30.716
10215,45.450492,-73.686449,140046,30.729
10215,45.450511,-73.686334,140047,30.738
10215,45.450664,-73.685401,140048,30.813
10215,45.450815,-73.684447,140049,30.889
10215,45.450993,-73.683337,140050,30.978
10215,45.451153,-73.682350,140051,31.058
10215,45.451361,-73.681077,140052,31.160
10215,45.451484,-73.680331,140053,31.220
10215,45.451868,-73.677936,140054,31.412
